商品品类,出现频次,支持度
厨房清洁用品,465,0.0022
常温低脂奶,463,0.0022
纯净水,458,0.0022
洗脸巾,455,0.0022
花茶/水果茶类,455,0.0022
普通沙琪玛,453,0.0022
其他口味威化饼干,452,0.0022
枣类,440,0.0021
冷冻肉丸,433,0.0021
进口米,432,0.0021
枸杞,426,0.0021
冷冻蔬菜,425,0.0021
冷冻粽子/黄粑/米粑/年糕类,425,0.0021
海盐,425,0.0021
冷藏点心,424,0.002
红枣类（煲汤枣类）,422,0.002
其他咖啡饮料,422,0.002
八宝粥,421,0.002
冷冻肉包子,421,0.002
果酒/鲜花酒,419,0.002
巧克力派,412,0.002
膨化食品组合包,409,0.002
冷冻牛排及牛肉调理制品,408,0.002
梳子,401,0.0019
冷冻其他馅水饺,400,0.0019
麻花类,398,0.0019
其他冷冻速食面食,387,0.0019
葵花籽油,382,0.0018
芝麻油,382,0.0018
即食豆制品类,381,0.0018
婴儿湿巾,376,0.0018
笔,371,0.0018
冷冻素包子,369,0.0018
葡萄/提子类,368,0.0018
核桃,368,0.0018
芝麻酱/香菇酱/蒜蓉酱,367,0.0018
冷藏春卷/烧麦/煎饼类,352,0.0017
肘花,351,0.0017
运动饮料,351,0.0017
常温加料奶,341,0.0016
冷冻牛肉片/卷,335,0.0016
花茶饮料,332,0.0016
夹心蛋卷,322,0.0016
藕粉,317,0.0015
豆浆,315,0.0015
预调酒/鸡尾酒/苏打酒,315,0.0015
手抓饼/葱油饼,314,0.0015
老抽,313,0.0015
室内空气清新用品,311,0.0015
小苏打/食用碱,311,0.0015
常温原味豆奶,304,0.0015
水果类膨化,302,0.0015
其他即食粥汤类,301,0.0015
其他花生,298,0.0014
有机酱油,296,0.0014
垃圾桶,294,0.0014
本地米,294,0.0014
桃类,293,0.0014
什锦罐头,293,0.0014
家居清洁用品,293,0.0014
其他冲调粉糊类,290,0.0014
蜂蜜,288,0.0014
插座\线材及配件,288,0.0014
女士手/足保养,287,0.0014
椰果罐头,283,0.0014
置物架,280,0.0014
冷冻水果汤圆,277,0.0013
护发素,276,0.0013
标签纸,274,0.0013
其他派,274,0.0013
豆奶粉/豆浆粉,273,0.0013
其他凉果蜜饯,272,0.0013
棉棒,272,0.0013
卤料包,272,0.0013
电水壶/电水瓶/电速热器,265,0.0013
浓缩西柚汁,264,0.0013
美术用品,261,0.0013
蛋黄派,260,0.0013
煎/炒锅,260,0.0013
猪肉及部件类,258,0.0012
巧克力口味威化饼干,258,0.0012
浓香型白酒（简装）,257,0.0012
卡通儿童饼干,257,0.0012
苏打饼干,255,0.0012
冰粉/冰淇淋粉,253,0.0012
冷冻羊肉片/卷,253,0.0012
修正类,252,0.0012
玻璃器皿,251,0.0012
豆腐干/豆腐丝/豆腐皮,248,0.0012
其他香型白酒,247,0.0012
衣物护理,242,0.0012
厨房用品清洁用具,241,0.0012
米醋,239,0.0012
海带类,237,0.0011
女棉拖,236,0.0011
桃罐头,235,0.0011
火锅蘸酱/料,231,0.0011
笔记本,228,0.0011
女士面部清洁,228,0.0011
常温高钙奶,224,0.0011
一次性手套,221,0.0011
孜然粉,220,0.0011
椒盐,219,0.0011
水果味饼干,217,0.001
压缩饼干,216,0.001
料酒,215,0.001
男士专用沐浴露,212,0.001
西瓜子,207,0.001
冷冻鸡排及鸡肉调理制品,206,0.001
麻薯类,205,0.001
休食蚕豆/胡豆,204,0.001
一般雪糕,203,0.001
儿童牙刷,203,0.001
加料乳酸菌饮料,202,0.001
混装核果,201,0.001
口味其他调味汁,199,0.001
高筋面粉,197,0.001
冷藏米粉/米皮,197,0.001
糕点组合礼盒/礼包装,196,0.0009
加味茶饮料,194,0.0009
加味谷物早餐,190,0.0009
小面包,190,0.0009
电饭煲,189,0.0009
果冻,189,0.0009
核桃糊,188,0.0009
男孩主题玩具,187,0.0009
其它儿童饼干,187,0.0009
球类,183,0.0009
蒸鱼豉油,182,0.0009
五香粉,182,0.0009
冷冻鲜肉/水产汤圆,176,0.0008
国产干红葡萄酒,174,0.0008
其他冲泡饮品,171,0.0008
电吹风,168,0.0008
休食豌豆,167,0.0008
包装松花蛋,163,0.0008
参类,162,0.0008
芝麻,161,0.0008
多味/怪味花生,160,0.0008
芥末酱/膏,157,0.0008
厨房清洁用具,155,0.0007
电动剃须刀及配件,153,0.0007
尺类,153,0.0007
苹果汁饮料,152,0.0007
配套性烹调锅类,152,0.0007
辣油,151,0.0007
面食类,150,0.0007
冷藏粽子/黄粑/米粑/年糕类,150,0.0007
雪菜/大头菜类/芽菜类,145,0.0007
季节性用品,144,0.0007
陈皮类,143,0.0007
浓香型白酒（盒装）,143,0.0007
纱布手帕/浴巾,143,0.0007
女袜,142,0.0007
虾片类,140,0.0007
成人纸尿裤,139,0.0007
花生仁,137,0.0007
无碘盐,136,0.0007
辣椒粉/面,135,0.0007
婴童洗发沐浴露,134,0.0006
薯片/土豆类膨化（罐装）,132,0.0006
家禽/家畜肉类,132,0.0006
红糖,132,0.0006
其他加料酸奶,132,0.0006
安全剪刀/指甲钳/理发用品,132,0.0006
刀削面/刀切面,131,0.0006
常温脱脂奶,131,0.0006
女孩主题玩具,131,0.0006
电蚊拍/灭蚊器,130,0.0006
手工面/拉面,130,0.0006
花生油,130,0.0006
玉米,129,0.0006
面包糠/屑,129,0.0006
五仁月饼,128,0.0006
月饼礼盒,123,0.0006
蛋白质类,123,0.0006
馅饼类,122,0.0006
电炖锅/电火锅/煎药壶,122,0.0006
龟苓膏,120,0.0006
白糖,118,0.0006
保健酒,118,0.0006
猪肉罐头,117,0.0006
无糖/低糖冷冻汤圆,117,0.0006
加料沙琪玛,116,0.0006
谷物和麦片礼盒,116,0.0006
