商品A,商品B,出现次数,支持度
休闲食品,冷冻甜品,1522,4.826860513384884e-06
冷冻甜品,家居用品,2003,4.826860513384884e-06
冷冻甜品,粮油调味,1028,4.826860513384884e-06
冷冻甜品,卫生用品,155,4.826860513384884e-06
南北干货,豆制品,158,4.826860513384884e-06
南北干货,家用纺织,42,4.826860513384884e-06
冷藏乳制品,家用纺织,312,4.826860513384884e-06
冷冻甜品,家用清洁,152,4.826860513384884e-06
冷藏乳制品,卫生用品,1494,4.826860513384884e-06
冷藏乳制品,豆制品,429,4.826860513384884e-06
冲调食品,文体用品,283,4.826860513384884e-06
家用清洁,文体用品,332,4.826860513384884e-06
烟酒水饮,蛋类,821,4.826860513384884e-06
冲调食品,服饰箱包,151,4.826860513384884e-06
冷藏乳制品,蛋类,302,4.826860513384884e-06
冷冻甜品,南北干货,84,4.826860513384884e-06
水产,烟酒水饮,216,4.826860513384884e-06
婴童食品,家居用品,368,4.826860513384884e-06
家居用品,豆制品,2099,4.826860513384884e-06
冷藏类,豆制品,409,4.826860513384884e-06
冲调食品,婴童用品,54,4.826860513384884e-06
南北干货,婴童用品,7,4.826860513384884e-06
南北干货,烟酒水饮,1595,4.826860513384884e-06
卫生用品,婴童用品,127,4.826860513384884e-06
婴童用品,烟酒水饮,143,4.826860513384884e-06
休闲食品,豆制品,688,4.826860513384884e-06
家用电器,文体用品,46,4.826860513384884e-06
冷藏乳制品,家用电器,88,4.826860513384884e-06
个人清洁,婴童用品,243,4.826860513384884e-06
个人清洁,非处方药,13,4.826860513384884e-06
冲调食品,非处方药,9,4.826860513384884e-06
卫生用品,文体用品,348,4.826860513384884e-06
家用纺织,文体用品,126,4.826860513384884e-06
文体用品,服饰箱包,94,4.826860513384884e-06
医疗用品,卫生用品,29,4.826860513384884e-06
医疗用品,家居用品,83,4.826860513384884e-06
保健品,家用电器,4,4.826860513384884e-06
冲调食品,家用电器,84,4.826860513384884e-06
家居用品,水果类,27,4.826860513384884e-06
冷藏乳制品,文体用品,464,4.826860513384884e-06
冷藏类,文体用品,155,4.826860513384884e-06
休闲食品,水产,189,4.826860513384884e-06
卫生用品,水产,26,4.826860513384884e-06
水产,粮油调味,284,4.826860513384884e-06
婴童用品,家用纺织,80,4.826860513384884e-06
冷冻甜品,水果类,46,4.826860513384884e-06
休闲食品,水果类,18,4.826860513384884e-06
冷冻甜品,冷藏类,314,4.826860513384884e-06
冷冻类,婴童食品,35,4.826860513384884e-06
冷冻类,蛋类,176,4.826860513384884e-06
冷藏类,蛋类,220,4.826860513384884e-06
冷冻甜品,冷藏乳制品,788,4.826860513384884e-06
冷冻甜品,文体用品,108,4.826860513384884e-06
冷藏乳制品,服饰箱包,175,4.826860513384884e-06
冷藏乳制品,蔬果类,57,4.826860513384884e-06
冷藏类,蔬果类,78,4.826860513384884e-06
南北干货,服饰箱包,43,4.826860513384884e-06
南北干货,蔬果类,21,4.826860513384884e-06
服饰箱包,蔬果类,3,4.826860513384884e-06
烟酒水饮,蔬果类,97,4.826860513384884e-06
粮油调味,蔬果类,135,4.826860513384884e-06
冷冻类,文体用品,116,4.826860513384884e-06
婴童食品,粮油调味,124,4.826860513384884e-06
医疗用品,烟酒水饮,46,4.826860513384884e-06
医疗用品,粮油调味,27,4.826860513384884e-06
家用清洁,水果类,4,4.826860513384884e-06
个人清洁,冷冻甜品,203,4.826860513384884e-06
冷冻甜品,家用纺织,34,4.826860513384884e-06
